ID,Location,address,maps,contact,contact2,contact3
Store ID: T176,"Anna Nagar, Kumbakonam","No, 46, Ayekulam Road, Anna Nagar, Kumbakonam, Tamil Nadu 612001","http://maps.google.com/maps?saddr=&daddr=No,%2046,%20Ayekulam%20Road,%20Anna%20Nagar,%20Kumbakonam,%20Tamil%20Nadu%20612001",0435 405 9496,tel:0435 405 9496,tel:+919791597915
Store ID: T159,"Anna Nagar, Madurai","Housing Board Complex, HIG 53/1, 80 Feet Rd, New LIG Colony, Anna Nagar, Madurai, Tamil Nadu 625020","http://maps.google.com/maps?saddr=&daddr=Housing%20Board%20Complex,%20HIG%2053/1,%2080%20Feet%20Rd,%20New%20LIG%20Colony,%20Anna%20Nagar,%20Madurai,%20Tamil%20Nadu%20625020",0452 796 6243,tel:0452 796 6243,tel:+919791597915
Store ID: T085,"Arcot Road, Porur","No. 165/1, Door No 24,, Arcot Road, Porur, Opp To Cremation Ground, Chennai, 600116, India","http://maps.google.com/maps?saddr=&daddr=No.%20165/1,%20Door%20No%2024,,%20Arcot%20Road,%20Porur,%20Opp%20To%20Cremation%20Ground,%20Chennai,%20600116,%20India",044 4858 6403,tel:044 4858 6403,tel:+919791597915
Store ID: T227,"Arcot Road, Virugambakkam","49, Arcot Rd, Udhayam Colony, New Colony, Virugambakkam, Chennai, Tamil Nadu 600092, India","http://maps.google.com/maps?saddr=&daddr=49,%20Arcot%20Rd,%20Udhayam%20Colony,%20New%20Colony,%20Virugambakkam,%20Chennai,%20Tamil%20Nadu%20600092,%20India",9003878444,tel:9003878444,tel:+919791597915
Store ID: K054,"Arekere, Bengaluru","No. 116, GS Tower, Sai Baba Temple Road, Arekere, Bengaluru, 560076, India","http://maps.google.com/maps?saddr=&daddr=No.%20116,%20GS%20Tower,%20Sai%20Baba%20Temple%20Road,%20Arekere,%20Bengaluru,%20560076,%20India",080 4372 8776,tel:080 4372 8776,tel:+919791597915
Store ID: T199,"Arumbakkam, Chennai","28(37) , Vinayagapuram 1st Street,, 100 feet Road , Arumbakkam,, Chennai, 600106, India","http://maps.google.com/maps?saddr=&daddr=28(37)%20,%20Vinayagapuram%201st%20Street,,%20100%20feet%20Road%20,%20Arumbakkam,,%20Chennai,%20600106,%20India",044 4767 8657,tel:044 4767 8657,tel:+919791597915
Store ID: T139,"Ashok Nagar2, Kodambakkam","No. 103, Ashok Nagar Main Road Opp to Ganesh Mahal, Kodambakkam, Chennai, 600024, India","http://maps.google.com/maps?saddr=&daddr=No.%20103,%20Ashok%20Nagar%20Main%20Road%20Opp%20to%20Ganesh%20Mahal,%20Kodambakkam,%20Chennai,%20600024,%20India",044 4868 6073,tel:044 4868 6073,tel:+919791597915
Store ID: T032,"Ashok Nagar, Chennai","Chennai, GROUND FLOOR, 43/2, 10th Ave, near IDFC BANK, Sarvamangala Colony, Manthope Colony, Ashok Nagar, Chennai, Tamil Nadu 600083","http://maps.google.com/maps?saddr=&daddr=Chennai,%20GROUND%20FLOOR,%2043/2,%2010th%20Ave,%20near%20IDFC%20BANK,%20Sarvamangala%20Colony,%20Manthope%20Colony,%20Ashok%20Nagar,%20Chennai,%20Tamil%20Nadu%20600083",9003026555,tel:9003026555,tel:+919791597915
Store ID: T047,"Avadi, Chennai","No. 262/2-3/209/2 & 209/3, Nehru Bazar Rd, near Federal Bank, Vivekananda Nagar, TNHB Mig V Block, Avadi, Tamil Nadu 600054","http://maps.google.com/maps?saddr=&daddr=%20No.%20262/2-3/209/2%20&%20209/3,%20Nehru%20Bazar%20Rd,%20near%20Federal%20Bank,%20Vivekananda%20Nagar,%20TNHB%20Mig%20V%20Block,%20Avadi,%20Tamil%20Nadu%20600054",044 4526 5787,tel:044 4526 5787,tel:+919791597915
Store ID: T218,Avadi MTH Road,"No.402, J K Complex, Tiruvallur High road, opposite Max showroom, Chennai, 600080, India","http://maps.google.com/maps?saddr=&daddr=No.402,%20J%20K%20Complex,%20Tiruvallur%20High%20road,%20opposite%20Max%20showroom,%20Chennai,%20600080,%20India",044 4978 8886,tel:044 4978 8886,tel:+919791597915
Store ID: K004,"AVS Layout, Koramangala","No. 984, 80 Feet Road, Koramangala, Near Duroflex, Bengaluru, 560034, India","http://maps.google.com/maps?saddr=&daddr=No.%20984,%2080%20Feet%20Road,%20Koramangala,%20Near%20Duroflex,%20Bengaluru,%20560034,%20India",080 4149 1675,tel:080 4149 1675,tel:+919791597915
Store ID: T058,"Ayanavaram, Chennai","No. 186/2, Mettu St, KK Nagar, Mettu St, KK Nagar, Ayanavaram, Chennai, 600023, India","http://maps.google.com/maps?saddr=&daddr=No.%20186/2,%20Mettu%20St,%20KK%20Nagar,%20Mettu%20St,%20KK%20Nagar,%20Ayanavaram,%20Chennai,%20600023,%20India",044 4851 2863,tel:044 4851 2863,tel:+919791597915
Store ID: K132,"Ayodha Nagar, Belagavi","Shop No.1, Suman Plaza, CTS No. 4833/11, Ayodhya Nagar, Civil hospital Road,, Belgaum, 590019, India","http://maps.google.com/maps?saddr=&daddr=Shop%20No.1,%20Suman%20Plaza,%20CTS%20No.%204833/11,%20Ayodhya%20Nagar,%20Civil%20hospital%20Road,,%20Belgaum,%20590019,%20India",0831 405 9519,tel:0831 405 9519,tel:+919791597915
Store ID: K035,"Bagalakunte, Bengaluru","No. 42, Havanur Layout, Bagalakunte, Near Reliance Fresh, Bengaluru, 560073, India",https://share.google/BUjwUA7OL7dzRRDUv,091486 18370,tel:091486 18370,tel:+919791597915
Store ID: T149,"Bagalur Road, Hosur","70G, Bagalur Rd, near Andhra Bank, Surya Nagar, Sri Nagar, Hosur, Tamil Nadu 635109","http://maps.google.com/maps?saddr=&daddr=70G,%20Bagalur%20Rd,%20near%20Andhra%20Bank,%20Surya%20Nagar,%20Sri%20Nagar,%20Hosur,%20Tamil%20Nadu%20635109",04344 350 172,tel:04344 350 172,tel:+919791597915
Store ID: K014,"Banashankari 3rd Stage, Bengaluru","No. 1&2, Shri Chamundeshwari Complex, near Canara Bank, Kamakya Layout, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085","http://maps.google.com/maps?saddr=&daddr=No.%201&2,%20Shri%20Chamundeshwari%20Complex,%20near%20Canara%20Bank,%20Kamakya%20Layout,%20Banashankari%203rd%20Stage,%20Banashankari,%20Bengaluru,%20Karnataka%20560085",080 4174 7055,tel:080 4174 7055,tel:+919791597915
Store ID: K063,"Banashankari Stage II, Bengaluru","No. 81, 21st Main Road, Banashankari Stage II, Banashankari, Near Polar Bear Store, Bengaluru, 560070, India","http://maps.google.com/maps?saddr=&daddr=No.%2081,%2021st%20Main%20Road,%20Banashankari%20Stage%20II,%20Banashankari,%20Near%20Polar%20Bear%20Store,%20Bengaluru,%20560070,%20India",080 4854 2695,tel:080 4854 2695,tel:+919791597915
Store ID: K015,Basavanagudi,"No. 85/5, Ground Floor, Vaibhav Apartment, opp to HSBC Bank, Bangalore, 560004, India","http://maps.google.com/maps?saddr=&daddr=No.%2085/5,%20Ground%20Floor,%20Vaibhav%20Apartment,%20opp%20to%20HSBC%20Bank,%20Bangalore,%20560004,%20India",080 4173 7055,tel:080 4173 7055,tel:+919791597915
Store ID: K062,"Basaveshwar Nagar, Bengaluru","No. 628, 8th Main Road, Basaveshwar Nagar, Opposite Titan World, Bengaluru, 560079, India","http://maps.google.com/maps?saddr=&daddr=No.%20628,%208th%20Main%20Road,%20Basaveshwar%20Nagar,%20Opposite%20Titan%20World,%20Bengaluru,%20560079,%20India",080 4155 7055,tel:080 4155 7055,tel:+919791597915
Store ID: T150,"B B Kulam, Madurai","No. 4, 2, V P Rathinasamy Nadar Road, B B Kulam, 625014, India","http://maps.google.com/maps?saddr=&daddr=No.%204,%202,%20V%20P%20Rathinasamy%20Nadar%20Road,%20B%20B%20Kulam,%20625014,%20India",0452 421 7451,tel:0452 421 7451,tel:+919791597915
Store ID: T198,"Besant Nagar, Chennai","Ananda Bhavan, 178, Mahatma Gandhi Rd, opp. Adyar, Subramaniam Colony, Besant Nagar, Chennai, Tamil Nadu 600090","http://maps.google.com/maps?saddr=&daddr=Ananda%20Bhavan,%20178,%20Mahatma%20Gandhi%20Rd,%20opp.%20Adyar,%20Subramaniam%20Colony,%20Besant%20Nagar,%20Chennai,%20Tamil%20Nadu%20600090",044 4619 5443,tel:044 4619 5443,tel:+919791597915
Store ID: AP004,Bhavani Nagar Tirupati,"18-1-623, VV Mahal Rd, opp. KFC Restaurant, RS Gardens, Bhavani Nagar, Tirupati, Andhra Pradesh 517501","http://maps.google.com/maps?saddr=&daddr=18-1-623,%20VV%20Mahal%20Rd,%20opp.%20KFC%20Restaurant,%20RS%20Gardens,%20Bhavani%20Nagar,%20Tirupati,%20Andhra%20Pradesh%20517501",0877 406 4315,tel:0877 406 4315,tel:+919791597915
Store ID: K090,"BH Road, Tumkur","No. 3933A-5117C/2689C, Mahalakshmi Central, B H Road, Ashok Nagar, Opposite RTO Office, Tumakuru, 572103, India","http://maps.google.com/maps?saddr=&daddr=No.%203933A-5117C/2689C,%20Mahalakshmi%20Central,%20B%20H%20Road,%20Ashok%20Nagar,%20Opposite%20RTO%20Office,%20Tumakuru,%20572103,%20India",0816 405 4708,tel:0816 405 4708,tel:+919791597915
Store ID: K081,"Bilekhalli, Bengaluru","No. 1349/999 B, Vijaya Bank Layout, Bilekhalli, Near Vijaya Bank, Bengaluru, 560076, India","http://maps.google.com/maps?saddr=&daddr=No.%201349/999%20B,%20Vijaya%20Bank%20Layout,%20Bilekhalli,%20Near%20Vijaya%20Bank,%20Bengaluru,%20560076,%20India",080 4173 1737,tel:080 4173 1737,tel:+919791597915
Store ID: K135,"BTM Layout, Bengaluru","No. 934, Hermain Complex, 16th Main Road, BTM Layout, Near McDonald's, Bengaluru, 560076, India","http://maps.google.com/maps?saddr=&daddr=No.%20934,%20Hermain%20Complex,%2016th%20Main%20Road,%20BTM%20Layout,%20Near%20McDonald%27s,%20Bengaluru,%20560076,%20India",080 3569 4099,tel:080 3569 4099,tel:+919791597915
Store ID: K117,"CBI Road, RT Nagar","No. 32, CBI Road, Ganganagar, RT Nagar, Near Shrine of St. Jude, Bengalaru, 560032, India","http://maps.google.com/maps?saddr=&daddr=No.%2032,%20CBI%20Road,%20Ganganagar,%20RT%20Nagar,%20Near%20Shrine%20of%20St.%20Jude,%20Bengalaru,%20560032,%20India",080 4432 5328,tel:080 4432 5328,tel:+919791597915
Store ID: K130,"CG Hospital Road, Davanagere","289 /6 AM Arcade CG Hospital Road Vidyarthi Bhavan, Davangere, 577002, India","http://maps.google.com/maps?saddr=&daddr=289%20/6%20AM%20Arcade%20CG%20Hospital%20Road%20Vidyarthi%20Bhavan,%20Davangere,%20577002,%20India",081924 60599,tel:081924 60599,tel:+919791597915
Store ID: TS007,"Chanda Nagar, Hyderabad","No.4-91, Service Road, Annapurna Enclave, Chanda Nagar, Hyderabad, 500050, India","http://maps.google.com/maps?saddr=&daddr=No.4-91,%20Service%20Road,%20Annapurna%20Enclave,%20Chanda%20Nagar,%20Hyderabad,%20500050,%20India",090031 16814,tel:090031 16814,tel:+919791597915
Store ID: T004,"Choolaimedu, Chennai","Chellamani and co, 52, Nelson Manickam Road, opposite, Choolaimedu, Chennai, 600094, India","http://maps.google.com/maps?saddr=&daddr=Chellamani%20and%20co,%2052,%20Nelson%20Manickam%20Road,%20opposite,%20Choolaimedu,%20Chennai,%20600094,%20India",044 4203 3630,tel:044 4203 3630,tel:+919791597915
Store ID: T193,"Chromepet, Chennai","New NO :4,5,6 OLD NO :202,203,204, Grand Southern Trunk Road, Chrompet, Chennai, 600044, India","http://maps.google.com/maps?saddr=&daddr=New%20NO%20:4,5,6%20OLD%20NO%20:202,203,204,%20Grand%20Southern%20Trunk%20Road,%20Chrompet,%20Chennai,%20600044,%20India",090031 19498,tel:090031 19498,tel:+919791597915
Store ID: K001,"Coles Road, Fraser Town","No. 1, Maria Plaza, Coles Road, Frazer Town, Opposite Vodafone Showroom, Bengaluru, 560005, India","http://maps.google.com/maps?saddr=&daddr=No.%201,%20Maria%20Plaza,%20Coles%20Road,%20Frazer%20Town,%20Opposite%20Vodafone%20Showroom,%20Bengaluru,%20560005,%20India",080 4124 7155,tel:080 4124 7155,tel:+919791597915
Store ID: K013,"Cunningham Road, Bengaluru","No. 3, Cunningham Road, Vasanth Nagar, Near Clove Dental, Bengaluru, 560052, India","http://maps.google.com/maps?saddr=&daddr=No.%203,%20Cunningham%20Road,%20Vasanth%20Nagar,%20Near%20Clove%20Dental,%20Bengaluru,%20560052,%20India",080 4167 7055,tel:080 4167 7055,tel:+919791597915
Store ID: K111,"CV Raman Nagar, Bengaluru","K111 No. 302/3C-1, Kaggadasapura Main Road, CV Raman Nagar, Near Axis Bank, Bengaluru, 560093, India","http://maps.google.com/maps?saddr=&daddr=K111%20No.%20302/3C-1,%20Kaggadasapura%20Main%20Road,%20CV%20Raman%20Nagar,%20Near%20Axis%20Bank,%20Bengaluru,%20560093,%20India",080 4207 3017,tel:080 4207 3017,tel:+919791597915
Store ID: K089,"Devaraj URS Road, Mysuru","No. 112/C, D Devaraj Urs Rd, opposite MINISO, Devaraja Mohalla, Shivarampet, Mysuru, Karnataka 570001","http://maps.google.com/maps?saddr=&daddr=No.%20112/C,%20D%20Devaraj%20Urs%20Rd,%20opposite%20MINISO,%20Devaraja%20Mohalla,%20Shivarampet,%20Mysuru,%20Karnataka%20570001",0821 426 3553,tel:0821 426 3553,tel:+919791597915
Store ID: T163,"Dhamodhara Nagar, Tuticorin","Shop No. 45B , 45 C next to Lenovo showroom, Thevarpuram Road, Tuticorin, 628003, India","http://maps.google.com/maps?saddr=&daddr=Shop%20No.%2045B%20,%2045%20C%20next%20to%20Lenovo%20showroom,%20Thevarpuram%20Road,%20Tuticorin,%20628003,%20India",0461 400 0082,tel:0461 400 0082,tel:+919791597915
Store ID: TS020,"Dilsukhnagar, Hyderabad","Nandini Complex, No. 16, 11-741, Gaddiannaram Rd, Dilsukhnagar, Hyderabad, Telangana 500036","http://maps.google.com/maps?saddr=&daddr=%20Nandini%20Complex,%20No.%2016,%2011-741,%20Gaddiannaram%20Rd,%20Dilsukhnagar,%20Hyderabad,%20Telangana%20500036",040 4021 8331,tel:040 4021 8331,tel:+919791597915
Store ID: K077,"Doddathoguru, Bengaluru","No. 48/2, Concord Silicon Valley, Doddathoguru, Electronic City, Opposite Concord Apartments, Bengaluru, 560100, India","http://maps.google.com/maps?saddr=&daddr=No.%2048/2,%20Concord%20Silicon%20Valley,%20Doddathoguru,%20Electronic%20City,%20Opposite%20Concord%20Apartments,%20Bengaluru,%20560100,%20India",080 4153 3733,tel:080 4153 3733,tel:+919791597915
Store ID: T027,"Dr Radha Krishnan Salai, Mylapore","No 27/28, Dowalani Towers, Doctor Radha Krishnan Salai, Mylapore, Chennai, 600004, India","http://maps.google.com/maps?saddr=&daddr=No%2027/28,%20Dowalani%20Towers,%20Doctor%20Radha%20Krishnan%20Salai,%20Mylapore,%20Chennai,%20600004,%20India",044 4213 1293,tel:044 4213 1293,tel:+919791597915
Store ID: T103,Ekkatuthangal,"15, Jawaharlal Nehru Road, Ekkattuthangal, Chennai, 600032, India","http://maps.google.com/maps?saddr=&daddr=15,%20Jawaharlal%20Nehru%20Road,%20Ekkattuthangal,%20Chennai,%20600032,%20India",044 4867 9156,tel:044 4867 9156,tel:+919791597915
Store ID: K087,"Empire Mall, Mangaluru","No. G/5, D No. 4/3/419/6, Empire Mall MG Road Kodailbail Next To Apollo, Pharmacy Golden Orched, Mangalore, 575003, India","http://maps.google.com/maps?saddr=&daddr=No.%20G/5,%20D%20No.%204/3/419/6,%20Empire%20Mall%20MG%20Road%20Kodailbail%20Next%20To%20Apollo,%20Pharmacy%20Golden%20Orched,%20Mangalore,%20575003,%20India",0824 411 0836,tel:0824 411 0836,tel:+919791597915
Store ID: T206,Five Roads Salem 2,"5/278-A , Junction Main Road, Near Reliance Mall, salem, 636004, India","http://maps.google.com/maps?saddr=&daddr=5/278-A%20,%20Junction%20Main%20Road,%20Near%20Reliance%20Mall,%20salem,%20636004,%20India",0427 452 0183,tel:0427 452 0183,tel:+919791597915
Store ID: AP014,"Gajuwaka, Visakhapatnam","Jhala Complex, S. No. 8&9, D. No.6-1-7, beside Dominos, Chaitanya Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh 530026","http://maps.google.com/maps?saddr=&daddr=Jhala%20Complex,%20S.%20No.%208&9,%20D.%20No.6-1-7,%20beside%20Dominos,%20Chaitanya%20Nagar,%20Gajuwaka,%20Visakhapatnam,%20Andhra%20Pradesh%20530026",0891 350 2520,tel:0891 350 2520,tel:+919791597915
Store ID: K109,"Gandhi Bazar, Basavanagudi","Atithya, No. 201/4, Sreenidhi Complex, Gandhi Bazaar Main Rd, opposite Hotel New, Basavanagudi, Bengaluru, Karnataka 560004","http://maps.google.com/maps?saddr=&daddr=Atithya,%20No.%20201/4,%20Sreenidhi%20Complex,%20Gandhi%20Bazaar%20Main%20Rd,%20opposite%20Hotel%20New,%20Basavanagudi,%20Bengaluru,%20Karnataka%20560004",080 4300 9471,tel:080 4300 9471,tel:+919791597915
Store ID: T025,Gandhi Nagar Adyar,"D. No. 77, S. No. 1, near Viveks Showroom, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020","http://maps.google.com/maps?saddr=&daddr=D.%20No.%2077,%20S.%20No.%201,%20near%20Viveks%20Showroom,%20Gandhi%20Nagar,%20Adyar,%20Chennai,%20Tamil%20Nadu%20600020",044 4359 8293,tel:044 4359 8293,tel:+919791597915
Store ID: T029,"Gandhi Nagar, Madurai","No. 29/15, Azad Road, Next To Anna Bus Stand,Madurai, Madurai, 625020, India","http://maps.google.com/maps?saddr=&daddr=No.%2029/15,%20Azad%20Road,%20Next%20To%20Anna%20Bus%20Stand,Madurai,%20Madurai,%20625020,%20India",0452 405 3604,tel:0452 405 3604,tel:+919791597915
Store ID: T147,Gandhi Road Arakkonam,"Lakshmi Plaza, 104/105, Gandhi Rd, next to Vasanth and Co Showroom, Arakkonam, Tamil Nadu 631001","http://maps.google.com/maps?saddr=&daddr=Lakshmi%20Plaza,%20104/105,%20Gandhi%20Rd,%20next%20to%20Vasanth%20and%20Co%20Showroom,%20Arakkonam,%20Tamil%20Nadu%20631001",077086 65163,tel:077086 65163,tel:+919791597915
Store ID: T093,"Gandhi Road, Kanchipuram","No. 277, Gandhi Road, Next to Hotel Sakra, Kanchipuram, 631501, India","http://maps.google.com/maps?saddr=&daddr=No.%20277,%20Gandhi%20Road,%20Next%20to%20Hotel%20Sakra,%20Kanchipuram,%20631501,%20India",044 4720 3880,tel:044 4720 3880,tel:+919791597915
Store ID: T142,"Gokulam Arcade, Thanjavur","No . 69 C /3125, Gokulam Arcade, Trichy Road, next to Vinodayan Hospital, Thanjavur, 613007, India","http://maps.google.com/maps?saddr=&daddr=No%20.%2069%20C%20/3125,%20Gokulam%20Arcade,%20Trichy%20Road,%20next%20to%20Vinodayan%20Hospital,%20Thanjavur,%20613007,%20India",04362 459 053,tel:04362 459 053,tel:+919791597915
Store ID: T046,"Gowrivakkam, Chennai","No. 162 , Velachery Main Road, Gowrivakkam, opposite Kannan Furniture, Chennai, 600073, India","http://maps.google.com/maps?saddr=&daddr=No.%20162%20,%20Velachery%20Main%20Road,%20Gowrivakkam,%20opposite%20Kannan%20Furniture,%20Chennai,%20600073,%20India",044 4773 9947,tel:044 4773 9947,tel:+919791597915
Store ID: T071,"Guduvanchery, Chennai","No 186 GST ROAD, Guduvanchery, Next to NEW GOLDEN HARDWARES, Chennai, 603202, India","http://maps.google.com/maps?saddr=&daddr=No%20186%20GST%20ROAD,%20Guduvanchery,%20Next%20to%20NEW%20GOLDEN%20HARDWARES,%20Chennai,%20603202,%20India",044 4740 0727,tel:044 4740 0727,tel:+919791597915
Store ID: TS022,"Habsiguda, Hyderabad","Lane 5, Street No. 8, Vijayanagar Colony, Vikrampuri, Habsiguda, Hyderabad, Telangana 500007","http://maps.google.com/maps?saddr=&daddr=Lane%205,%20Street%20No.%208,%20Vijayanagar%20Colony,%20Vikrampuri,%20Habsiguda,%20Hyderabad,%20Telangana%20500007",040 4896 2411,tel:040 4896 2411,tel:+919791597915
Store ID: TS009,"Habsiguda, Hyderabad","G1, Bhubathi Chambers, No. 4-7-102/8 & 9, Uppal Rd, Nagendra Nagar, Habsiguda, Hyderabad, Telangana 50000","http://maps.google.com/maps?saddr=&daddr=%20G1,%20Bhubathi%20Chambers,%20No.%204-7-102/8%20&%209,%20Uppal%20Rd,%20Nagendra%20Nagar,%20Habsiguda,%20Hyderabad,%20Telangana%2050000",040 4017 8151,tel:040 4017 8151,tel:+919791597915
Store ID: K139,"Haji Colony, Raichur","Sangeetha Arcade , 11-2-61 & 62, Near Gandhi Chowk, Lingasoor Road, Raichur, 584101, India","http://maps.google.com/maps?saddr=&daddr=Sangeetha%20Arcade%20,%2011-2-61%20&%2062,%20Near%20Gandhi%20Chowk,%20Lingasoor%20Road,%20Raichur,%20584101,%20India",085324 51664,tel:085324 51664,tel:+919791597915
Store ID: T100,"Hasthinapuram, Chennai","No. 35, Dr. Rajendra Prasad Road, Nehru Nagar, Chrompet, Chennai, 600044, India","http://maps.google.com/maps?saddr=&daddr=No.%2035,%20Dr.%20Rajendra%20Prasad%20Road,%20Nehru%20Nagar,%20Chrompet,%20Chennai,%20600044,%20India",044 4857 7950,tel:044 4857 7950,tel:+919791597915
Store ID: K065,"Hennur Gardens, Bengaluru","Harsha Complex, HBR Layout 4th Block, Hennur Garden, Near Reliance Fresh, Bengaluru, 560043, India","http://maps.google.com/maps?saddr=&daddr=Harsha%20Complex,%20HBR%20Layout%204th%20Block,%20Hennur%20Garden,%20Near%20Reliance%20Fresh,%20Bengaluru,%20560043,%20India",080 4375 4679,tel:080 4375 4679,tel:+919791597915
Store ID: K045,"Hongasandra, Bengaluru","No. 17-1627/1117, Begur Road, Hongasandra, Opposite Vinayaga Hospital, Bengaluru, 560068, India","http://maps.google.com/maps?saddr=&daddr=No.%2017-1627/1117,%20Begur%20Road,%20Hongasandra,%20Opposite%20Vinayaga%20Hospital,%20Bengaluru,%20560068,%20India",080 4834 6702,tel:080 4834 6702,tel:+919791597915
Store ID: T128,"Hope college, Coimbatore","#1627, Sree Manis tower,2 nd floor, Avinashi road, Hope college, Coimbatore, 641004, India","http://maps.google.com/maps?saddr=&daddr=#1627,%20Sree%20Manis%20tower,2%20nd%20floor,%20Avinashi%20road,%20Hope%20college,%20Coimbatore,%20641004,%20India",0422 495 4621,tel:0422 495 4621,tel:+919791597915
Store ID: K075,"Horamavu, Bengaluru","No. 1, SLV Complex, Hormau Main Road, Munireddy Layout, Horamavu, Near Soch Factory, Bengaluru, 560043, India","http://maps.google.com/maps?saddr=&daddr=No.%201,%20SLV%20Complex,%20Hormau%20Main%20Road,%20Munireddy%20Layout,%20Horamavu,%20Near%20Soch%20Factory,%20Bengaluru,%20560043,%20India",080 4200 5675,tel:080 4200 5675,tel:+919791597915
Store ID: K125,"Hosayellapur, Dharwad","No. 10 , Line Bazaar Behind Hanuman Temple, Suvidha Matoshree lifestyle Mall, Dharwad, 580001, India","http://maps.google.com/maps?saddr=&daddr=No.%2010%20,%20Line%20Bazaar%20Behind%20Hanuman%20Temple,%20Suvidha%20Matoshree%20lifestyle%20Mall,%20Dharwad,%20580001,%20India",091500 96094,tel:091500 96094,tel:+919791597915
